tipo,noefectivo1,noefectivo2,noefectivo3,noefectivo4,noefectivo5,noefectivo6,noefectivo7
Fuego,Fuego,Agua,Roca,Dragon,-,-,-
Normal,Roca,Acero,-,-,-,-,-
Agua,Agua,Planta,Dragon,-,-,-,-
Planta,Fuego,Planta,Veneno,Volador,Bicho,Dragon,Acero
Electrico,Planta,Electrico,Dragon,-,-,-,-
Hielo,Fuego,Agua,Hielo,Acero,-,-,-
Lucha,Veneno,Volador,Psiquico,Bicho,Hada,-,-
Veneno,Veneno,Tierra,Roca,Fantasma,-,-,-
Tierra,Planta,Bicho,-,-,-,-,-
Volador,Electrico,Roca,Acero,-,-,-,-
Psiquico,Psiquico,Acero,-,-,-,-,-
Bicho,Fuego,Lucha,Veneno,Volador,Fantasma,Acero,Hada
Roca,Lucha,Tierra,Acero,-,-,-,-
Fantasma,Siniestro,-,-,-,-,-,-
Dragon,Acero,-,-,-,-,-,-
Siniestro,Lucha,Siniestro,Hada,-,-,-,-
Acero,Fuego,Agua,Electrico,Acero,-,-,-
Hada,Fuego,Veneno,Acero,-,-,-,-




